category,sub_scenario,description,example_situation,typical_question,strong_hire_example
conflict,resource_allocation,"Two or more teams competing for the same limited resources such as engineers, budget, infrastructure, or time. Requires negotiation and data-driven decision making to find fair resolution.","Product and Infrastructure teams both needed the same 3 senior engineers for Q1 priorities. Product wanted a new feature, Infrastructure needed critical security updates.","Tell me about a time you had to resolve a conflict over resources.","Situation: Reels and News Feed teams both needed the same 3 ML infrastructure engineers for Q1. Reels was launching creator monetization with a Super Bowl campaign deadline - $10M in ad commitments. News Feed needed ranking model improvements to address a 3% engagement decline affecting ad revenue.

Task: As the eng manager over ML infrastructure, I needed to find a resolution that protected both business priorities without escalating to VP level.

Action: I met with both tech leads to understand true constraints. Reels' hard deadline was Feb 1 for Super Bowl; News Feed's engagement fix had no external deadline but was impacting Q1 revenue projections. I analyzed the work and found Reels needed 2 engineers for 4 weeks on model serving, while News Feed needed the third engineer for ranking experiments. I proposed: 2 engineers to Reels through Feb 1, third engineer starts News Feed immediately. I also identified that one Reels task could be parallelized with existing News Feed infrastructure work - saving 2 weeks total. I committed to daily standups to catch blockers early.

Result: Reels creator monetization launched Jan 30, drove 23% increase in creator content during Super Bowl week. News Feed ranking improvements shipped Feb 15, recovering 2.1% of the engagement decline. Both leads presented jointly at quarterly review as a collaboration win. This became our template for cross-team resource allocation."
conflict,technical_disagreement,"Engineers or tech leads disagree on architecture, design patterns, technology choices, or implementation approach. Often involves trade-offs between different valid solutions.","Senior engineer wanted to keep the monolith for simplicity, I advocated for microservices for the new payment system citing scalability needs. We had heated debates in design reviews.","Tell me about a time you disagreed with a technical decision.","Situation: Our principal engineer wanted to build Instagram Stories' new interactive stickers as part of the existing Stories monolith, citing team familiarity. I believed we needed a separate service because interactive stickers required real-time state sync across millions of concurrent viewers - the monolith couldn't handle that load pattern.

Task: I needed to convince him with data without damaging our relationship, since we'd be working together for years on Stories infrastructure.

Action: Instead of arguing in design reviews, I spent a weekend building a load simulation. I modeled the Super Bowl scenario: 100M concurrent viewers, each sticker interaction needing sub-100ms sync. The monolith's request pattern showed 40% of requests would timeout. I also created a migration plan using the strangler pattern - we could extract incrementally, not big-bang. I presented to him 1:1 first, acknowledging his valid concerns about operational complexity. I proposed we'd share on-call initially to address his maintenance concerns.

Result: The data convinced him - he hadn't modeled the concurrent viewer scenario. We extracted the service in 6 weeks. During the actual Super Bowl, we handled 112M concurrent viewers with p99 latency of 67ms. He later cited this in a tech talk as an example of data-driven technical decision making. We've collaborated smoothly on 3 more projects since."
conflict,priority_misalignment,"Different stakeholders (PM, engineering, leadership) have conflicting views on what should be built first. Involves balancing business needs, technical debt, and team capacity.","PM wanted to ship 3 new features for a sales demo, engineering team wanted to address mounting tech debt that was slowing development by 40%.","Tell me about a time stakeholders disagreed on priorities.","Situation: Our PM wanted to ship 3 new Marketplace features for a holiday shopping push - seller analytics, price comparison, and shipping estimates. My team had been tracking mounting tech debt in the product catalog service - our test suite took 3 hours and deployments had dropped to twice weekly because engineers feared breaking things.

Task: I needed to find a path that addressed the real business need (holiday revenue) while not letting tech debt cripple us further.

Action: I analyzed what the holiday push actually required. Talked to the Marketplace growth lead and learned only shipping estimates was a must-have; the other two were 'nice to have' based on seller feedback. I proposed a deal: deliver shipping estimates in 3 weeks, then spend 2 weeks on test infrastructure before other features. I showed data projecting that without fixes, we'd slow to weekly deploys within a month - right during holiday peak. I offered to personally present the tradeoff to the Marketplace director, taking the heat off the PM.

Result: Shipped shipping estimates in 2.5 weeks - it drove 8% conversion lift for holiday. Used remaining time to parallelize tests, cutting runtime from 3 hours to 25 minutes. Deployment frequency returned to daily. The other two features shipped in January without the holiday pressure. PM later said she'd been skeptical but now always validates 'must-haves' with data before committing."
conflict,cross_team_dependency,"Your team is blocked by or blocking another team. May involve blame, finger-pointing, or unclear ownership. Requires diplomacy and focus on shared goals.","Mobile team blamed backend team for launch delays, backend said mobile kept changing API requirements. Both teams were frustrated and trust was breaking down.","Tell me about a time you dealt with conflict between teams.","Situation: WhatsApp iOS and Android teams were blaming the backend team for delays in launching encrypted group calls. iOS said backend kept changing API contracts. Backend said mobile teams kept requesting changes after specs were finalized. Trust had broken down - engineers were refusing to join cross-team meetings.

Task: As the tech lead with relationships on both mobile teams from a previous project, I volunteered to mediate and find a path forward.

Action: I ran separate retros with each team - not to assign blame but to document specific pain points with examples. Found the root cause: no API contract process. Backend would write APIs, mobile would implement, find issues in integration testing, request changes via Slack. I proposed a contract-first approach: Protocol Buffer specs reviewed by all three teams before any implementation. For the immediate crisis, I facilitated a 4-hour working session with all teams mapping remaining work on a shared board. I physically stayed in the room to redirect any blame to 'what do we need to ship.'

Result: Launched encrypted group calls 2 weeks later. Implemented the contract-first process which reduced API-related back-and-forth by 75% over the next quarter. The three tech leads now do weekly syncs. The process was adopted by 4 other cross-platform features at WhatsApp. I was asked to document it as the standard for WhatsApp cross-team API development."
conflict,personality_clash,"Interpersonal friction with a colleague due to different communication styles, work habits, or personalities. Not about the work itself but about how people interact.","A colleague was consistently dismissive and condescending in code reviews, making junior engineers afraid to submit PRs. Team morale was suffering.","Tell me about a time you worked with a difficult colleague.","Situation: I was paired with a senior engineer on Facebook's Integrity team for a critical misinformation detection project. He was brilliant but had driven two previous partners off the project with dismissive behavior. Within the first week, he rejected three of my design proposals with one-line responses like 'won't work' without explanation.

Task: I needed to find a way to collaborate effectively because the project was VP-visibility and avoiding him wasn't an option - we were the only two engineers assigned full-time.

Action: I observed his patterns instead of reacting emotionally. He respected engineers who showed depth, not breadth. I changed my approach: instead of polished proposals, I'd share my reasoning - 'here are 3 approaches I evaluated, here's why I'm leaning toward option 2, what am I missing?' I discovered he was most responsive between 6-8am, so I shifted my hours to overlap. When he was dismissive, I'd follow up in person asking specifically what wouldn't work. I also gave him credit publicly when his feedback improved my designs.

Result: By week 4, we were operating smoothly. He started proactively reviewing my code and suggesting optimizations. We delivered the misinformation classifier 2 weeks early with 94% precision - it blocked 2M pieces of misinfo in the first month. In my perf review, he specifically mentioned me as 'one of the few engineers who handles feedback well.' He requested me for his next project on coordinated inauthentic behavior detection."
conflict,manager_disagreement,"You disagreed with your manager's decision, direction, or approach. Requires courage to push back respectfully while maintaining the relationship.","Manager wanted to ship the feature without writing tests to meet the deadline. I believed this would create more problems and pushed back on the quality compromise.","Tell me about a time you disagreed with your manager.","Situation: My manager wanted our Ads Ranking team to adopt a new ML platform that leadership was pushing org-wide. I had evaluated it and found it would increase model training time by 3x and didn't support our custom feature engineering pipeline. My manager said we needed to align with the org direction.

Task: I needed to find a way to address my concerns without damaging my relationship with my manager or appearing resistant to org initiatives.

Action: I documented my concerns with data: training time impact on experimentation velocity (we'd go from 10 experiments/week to 3), migration effort (6 weeks), and the feature engineering gap. But I also proposed alternatives: 1) adopt the new platform for new models only while keeping existing models on current infra, 2) work with the platform team to add our feature engineering support, or 3) get a time-limited exception with commitment to migrate later. I presented this to my manager as 'I want to support the org direction, here's what I'd need to make it work' and offered to lead the platform team discussions myself.

Result: My manager appreciated the structured approach. I met with the platform team - they were receptive since other Ads teams had similar needs. We collaborated on adding feature engineering support over 8 weeks. We were the fifth team to migrate but had zero experimentation velocity regression. My manager mentioned in my review that she valued my 'disagree and commit with constructive proposals' approach."
conflict,scope_creep,"Stakeholders continuously add requirements mid-project, causing team frustration and timeline risk. Requires setting boundaries while maintaining relationships.","PM kept adding 'small' features mid-sprint saying they were easy. Team was working overtime and morale was dropping. No one wanted to push back directly.","Tell me about a time you had to manage scope creep.","Situation: We were 3 weeks into a 6-week project to rebuild Instagram's Explore recommendation UI when the PM started adding requirements: real-time personalization (original was batch), video preview on hover, and cross-posting to Facebook. Each 'small addition' was threatening to turn 6 weeks into 14 weeks.

Task: I needed to protect the team's ability to deliver while maintaining a good relationship with the PM and meeting actual business needs.

Action: I called a scope checkpoint meeting with the PM and my manager. I prepared a visual: original scope, added requests, and engineering estimates for each. I didn't say 'no' - I asked 'help me understand which are must-have for launch vs fast-follows.' I showed the math: adding everything meant missing the Q3 goal and the Explore redesign that execs had committed to externally. I proposed launching core UI on time, then real-time personalization in v2 (it needed backend changes anyway).

Result: PM agreed video preview and cross-posting could wait. We kept real-time personalization but scoped it to top 20% of users initially. Launched on schedule for Q3. Real-time for all users shipped 5 weeks later. Explore engagement increased 12% post-launch. PM thanked me for 'forcing the hard conversation' - she'd been getting pressure from multiple stakeholders and needed help prioritizing. We now do scope checkpoints at week 2 for all projects."
conflict,customer_vs_engineering,"Customer demands or sales promises conflict with engineering reality, timelines, or best practices. Requires balancing customer satisfaction with sustainable engineering.","Sales promised a custom feature to close a $2M deal with a 4-week timeline. Engineering estimated 12 weeks minimum. Customer was threatening to walk.","Tell me about a time you had to balance customer needs with engineering constraints.","Situation: A major advertiser spending $50M/year threatened to move budget to Google unless we gave them custom audience targeting that bypassed our standard privacy controls. The sales team was pushing hard. Engineering knew this would violate our data use principles and potentially create regulatory issues.

Task: I needed to find a way to meet the advertiser's underlying need without compromising our integrity standards or setting a precedent of custom exceptions.

Action: I asked to join the advertiser call to understand their actual need, not just their request. They didn't want to bypass privacy - they wanted to reach users who had purchased from them before. Our standard tools required 1000+ user minimum for privacy; they had 800 users in a high-value segment. I proposed a solution: we'd build an aggregated lookalike audience feature that could find similar users while maintaining k-anonymity. This gave them reach to their target demographic without exposing individual users. I built a prototype in a week to demonstrate feasibility.

Result: Advertiser was happy - the lookalike audience actually performed better than their original request (3.2x ROAS vs their benchmark). We productized the feature in 6 weeks. It's now used by 200+ advertisers generating $30M in incremental revenue annually. Privacy team used this as a case study of 'finding yes' within constraints. I was recognized in the Integrity team's quarterly awards."
failure,missed_deadline,"Failed to deliver a project, feature, or milestone on time. May have impacted customers, partners, or business commitments. Requires honest reflection on root causes.","We promised a Q3 launch to a major partner who planned their marketing around it. We shipped 6 weeks late, damaging the relationship and costing potential revenue.","Tell me about a time you missed a deadline.","Situation: I committed to delivering Facebook's new video monetization system for creators in 8 weeks for a major creator event. At week 6, we were only 50% done. I had underestimated the complexity of integrating with the existing ad serving pipeline and the payment compliance requirements across 40 countries.

Task: I needed to communicate the miss immediately, minimize impact on the creator event, and understand what went wrong in my estimation.

Action: The moment I realized we'd miss, I told my manager and the creator partnerships team that same day - no waiting, no hoping we could catch up. I came with a revised estimate (12 weeks) and breakdown of what caused the miss. I proposed a partial launch: we could deliver US-only monetization by week 8 (meeting the event minimum since most attending creators were US-based), with international rollout by week 12. I also started a pre-mortem while the project was still running, documenting lessons learned. My key mistake: estimating based on similar projects without accounting for the 40-country compliance requirement.

Result: Creator partnerships appreciated the early warning and accepted phased approach. Launched US monetization at week 8.5 for the event - creators earned $2M in the first month. Full international rollout completed at week 11. The pre-mortem led to a new estimation practice: we now require explicit 'compliance/legal complexity' and 'integration dependency' assessments for any estimate. My manager said the way I handled the miss mattered more than the miss itself."
failure,production_incident,"Your code, decision, or oversight caused or contributed to a bug, outage, or degradation in production. Requires accountability and focus on learning/prevention.","My code change had an edge case that caused a 2-hour outage affecting 50K users. I hadn't tested the specific scenario that triggered the bug.","Tell me about a time you caused a production issue.","Situation: I deployed a caching optimization to Instagram's Story viewing service that I'd tested thoroughly in staging. Within an hour, memory usage spiked and we had cascading failures. 12% of users couldn't view Stories for 45 minutes. I had missed a memory leak in the cache eviction logic that only manifested under production's access patterns - staging had 1/100th the traffic diversity.

Task: I needed to fix the immediate issue, take full accountability, and ensure this class of problem couldn't happen again.

Action: First, I rolled back immediately rather than debugging in production. Then I owned the incident response - wrote the user comms, led the war room, and stayed until fully stable. In the post-mortem, I didn't deflect to staging limitations. I identified that I'd only tested with synthetic load patterns, not replayed production traffic. I proposed two changes: 1) add production traffic replay to our pre-deploy checklist, and 2) implement canary deployments for Stories infrastructure so future issues affect 1% of traffic, not 100%. I built the traffic replay tool myself over the next 2 weeks.

Result: Traffic replay tool caught 4 issues in other engineers' code in its first month. Canary deployments became standard for all Instagram latency-sensitive services. I presented the post-mortem at Engineering All-Hands as a learning opportunity. The VP of Engineering mentioned it as an example of 'owning failures and turning them into organizational improvements.' I was promoted 6 months later with this incident response cited positively."
